ID,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS
e02adeae-0239-4ab9-aa63-7a966101e8ad,1965-06-24,,999-53-4112,S99987464,false,Mrs.,Lenore321,O'Kon648,,Donnelly502,M,white,irish,F,Newton MA US,20614 Littel Point Apt. 899 Chatham MA 02633 US
88b26af4-4291-474d-b2cb-b6304b71e2d7,1994-06-09,,999-97-3305,S99950628,false,Ms.,Reilly602,Schamberger177,,,,white,irish,F,Wilmington MA US,811 Maryse Harbors Barnstable MA 02630 US
f0149f92-8965-49ad-915f-449ffdfd01f8,1933-03-15,,999-15-5231,S99968814,X96725635X,Mr.,Lewis608,Murazik235,,,M,white,polish,M,Holden MA US,93108 Adams Locks Bourne MA 02559 US
3d725fb7-22cd-4566-aac5-bb927bfba90d,1991-04-27,,999-40-3436,S99962499,X58006230X,Ms.,Braeden516,Gibson528,,,,white,portuguese,F,Northborough MA US,45638 Kessler Burg Apt. 328 Dennis MA 02638 US
22c06d26-8f0a-4d54-925d-c9dd3118443f,1969-05-28,,999-27-5248,S99994001,X27162669X,Mrs.,Aleen583,Kozey657,,Howell391,M,white,italian,F,Wilbraham MA US,10067 Jeanette Branch Bourne MA 02559 US
1bbb2178-6e0c-4214-b5ca-d521a6d6cb0c,2002-09-17,,999-91-3072,,,,Isabell884,Brekke994,,,,white,italian,F,Springfield MA US,61093 Jacobs Views Brewster MA 02631 US
4a517b8f-ead3-4640-96ef-f0525d087476,1939-09-23,2006-07-29,999-61-3636,S99992016,X64646106X,Mr.,Cletus226,Herzog43,,,M,white,french_canadian,M,Sutton MA US,570 Hyatt Path Apt. 281 Dennis MA 02638 US
f25cb8d4-ed92-44d5-9a46-8f5dd466f585,1967-11-28,,999-42-5125,S99998338,false,Mr.,Natalia9,Crist54,,,M,white,french,M,Quincy MA US,50022 Donnelly Spring Harwich MA 02645 US
ca5ff4fc-3858-45a2-86ac-e558168d8f8b,1966-04-24,2011-11-20,999-82-3732,S99958855,false,Mrs.,Kenyon659,McCullough226,,Johnson303,M,white,scottish,F,Needham MA US,7218 Will Drive Apt. 291 Barnstable MA 02630 US
852ab8b2-f09c-4785-8500-c6e4a5bc47b2,1957-11-01,,999-14-6563,S99962558,X17830987X,Mrs.,Providenci155,Pollich676,,O'Hara796,M,hispanic,puerto_rican,F,Hanson MA US,65353 Murazik Villages Apt. 616 Harwich MA 02645 US
